Path,Speaker,Emotion,Transcript
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_back_fear.wav,OAF,Fear,Say the word back.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bar_fear.wav,OAF,Fear,Say the word bar.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_base_fear.wav,OAF,Fear,Say the word base.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bath_fear.wav,OAF,Fear,Say the word bath.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bean_fear.wav,OAF,Fear,Say the word being...
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_beg_fear.wav,OAF,Fear,Say the word beg.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bite_fear.wav,OAF,Fear,Say the word bite.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_boat_fear.wav,OAF,Fear,Say the word boat.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bone_fear.wav,OAF,Fear,Say the word bone.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_book_fear.wav,OAF,Fear,Say the word book.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_bought_fear.wav,OAF,Fear,Say the word bot.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_burn_fear.wav,OAF,Fear,Say the word burn.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_cab_fear.wav,OAF,Fear,Say the word cab.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_calm_fear.wav,OAF,Fear,Say the word calm.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_came_fear.wav,OAF,Fear,Say the word came.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_cause_fear.wav,OAF,Fear,Say the word cause.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_chain_fear.wav,OAF,Fear,Say the word chain.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_chair_fear.wav,OAF,Fear,Say the word chair.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_chalk_fear.wav,OAF,Fear,"Say the word, chalk."
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_chat_fear.wav,OAF,Fear,Say the word chat.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_check_fear.wav,OAF,Fear,Say the word check.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_cheek_fear.wav,OAF,Fear,Say the word cheek.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_chief_fear.wav,OAF,Fear,Say the word chief.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_choice_fear.wav,OAF,Fear,Say the word choice.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_cool_fear.wav,OAF,Fear,Say the word cool.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dab_fear.wav,OAF,Fear,"Say the word, dab."
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_date_fear.wav,OAF,Fear,Say the word date.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dead_fear.wav,OAF,Fear,Say the word dead.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_death_fear.wav,OAF,Fear,Say the word death.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_deep_fear.wav,OAF,Fear,Say the word deep.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dime_fear.wav,OAF,Fear,Say the word time.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dip_fear.wav,OAF,Fear,Say the word dip.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_ditch_fear.wav,OAF,Fear,Say the word ditch.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dodge_fear.wav,OAF,Fear,Say the word Dodge.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_dog_fear.wav,OAF,Fear,Say the word dog.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_doll_fear.wav,OAF,Fear,Say the word doll!
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_door_fear.wav,OAF,Fear,Say the word door.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_fail_fear.wav,OAF,Fear,Say the word fail.
/content/drive/MyDrive/speech_emotion_project/data/OAF_Fear/OAF_fall_fear.wav,OAF,Fear,Say the word fall.
